Nombre,Email,Telefono,Direccion,Objetivos,AreaTematica,URL,ScrapedAt,Success
Fundación Líder. Ar - Jóvenes Líderes Agentes de Cambio en sus Comunidades,jovenesliderar@gmail.com,1136479500,"Av. Salvador María del Carril 2559 Piso 9, Dpto. C C1419GZE 43 Ciudad Autónoma de Buenos Aires Argentina",Potenciar el liderazgo comunitario de las personas a través de dos dimensiones: un camino de autoconocimiento y desarrollo de habilidades socioemocionales; crear proyectos sociales dentro de su comunidad que tengan impacto social positivo.,Educación,https://buenosaires.gob.ar/organizacion/fundacion-lider-ar-jovenes-lideres-agentes-de-cambio-en-sus-comunidades,2025-08-09T16:05:39.016Z,true
Asociación Civil Social y Comunitaria Por Ellos Todo es Posible,actodoesposible@gmail.com,1150495440,"Gregorio de Laferrere 6692 Edif 12 Piso 6, Dpto. B C1440BGH 17 Ciudad Autónoma de Buenos Aires Argentina","Promover el libre acceso y ejercicio entre la población en situación de vulnerabilidad social, de los siguientes derechos: alimentación, vivienda digna, salud, educación, cultura y trabajo.",Deportes y recreación,https://buenosaires.gob.ar/organizacion/asociacion-civil-social-y-comunitaria-por-ellos-todo-es-posible,2025-08-09T16:05:43.924Z,true
Cooperativa de Trabajo Manos a la Obra Limitada,cooperativamanosa@gmail.com,63792514,Zuviría 2073 C1406HSG 24 Ciudad Autónoma de Buenos Aires Argentina,"Realizar trabajos de reparación, mantenimiento, mejora y construcción de obras públicas y privadas, plomería e instalación de redes de luz, gas, agua, i/y cloacas y sus conexiones domiciliarias, mantenimiento y cuidado integral de parques, jardines y espacios públicos y privados; zanjeo, desmalezado, desmonte y afines.",Género,https://buenosaires.gob.ar/organizacion/cooperativa-de-trabajo-manos-la-obra-limitada,2025-08-09T16:05:44.166Z,true
Fundación Cuidados de Salud,info@cuidadosdesalud.org.ar,48244951,"Arenales 2644 Piso 1, Dpto. C C1425BED 28 Ciudad Autónoma de Buenos Aires Argentina","Capacitar a profesionales de la salud mediante programas académicos propios o compartidos a través de convenios con Universidades, Centros de Formación y OSC; promover la investigación científica sobre el uso de la telemedicina y la aplicación de nuevas tecnologías; promover inclusión de personas con necesidades especiales.",Salud,https://buenosaires.gob.ar/organizacion/fundacion-cuidados-de-salud,2025-08-09T16:05:42.353Z,true
Asociación Civil Impacto Digital,info@impactodigital.org,1540263806,Blanco Encalada 5581 C1431CDW C1431CDW 48 Ciudad Autónoma de Buenos Aires Argentina,"Promover y fomentar el uso y desarrollo de todo tipo de nuevas tecnologías y metodologías, con el propósito de coadyuvar a conducir aquellas a formar y replicar soluciones innovadoras para distintos problemas de índole social, contribuyendo a inferir su impacto positivo en la sociedad, así como el impulso de diversas iniciativas que contribuyan a contrarrestar sus efectos negativos.",Ciencia y tecnología,https://buenosaires.gob.ar/organizacion/asociacion-civil-impacto-digital,2025-08-09T16:05:43.766Z,true
Fundación Papa Francisco,fun.papafrancisco@gmail.com,1111111111,"Lavalle 750 Piso 4, Dpto. A C1047AAP 32 Ciudad Autónoma de Buenos Aires Argentina","Promover la inclusión social de todas las personas a través de la promoción de la educación, la cultura, el deporte, el desarrollo social y el mejoramiento de las condiciones de salud, de los individuos en particular y de la familia en su conjunto como base de crecimiento de toda la sociedad organizada.",Medio ambiente,https://buenosaires.gob.ar/organizacion/fundacion-papa-francisco,2025-08-09T16:05:42.407Z,true
Mundo Villa Asociación Civil,ramosjoaquin@gmail.com,1143430136,"Av. de Mayo 822 Piso 4, Depto. A C1084AAQ 19 Ciudad Autónoma de Buenos Aires Argentina",Informar para transformar la realidad; romper con los prejuicios hacia los vecinos de las villas; formar a los jóvenes para que puedan ser los portavoces de las noticias de sus barrios.,Comunicación,https://buenosaires.gob.ar/organizacion/mundo-villa-asociacion-civil,2025-08-09T16:05:43.582Z,true
Avaece Asociación Civil De Agentes y Agencias de Viaje Pymes Arg,info@avaece.com.ar,1153507630,"Lavalle 1569 Piso 4, Dpto. 410 C1048AAK 32 Ciudad Autónoma de Buenos Aires Argentina","Defender a los Agentes y a las Agencias de Viajes Pymes Argentinas mediante un trabajo interinstitucional exento de posicionamientos políticos, partidarios o sectoriales.",Otros,https://buenosaires.gob.ar/organizacion/avaece-asociacion-civil-de-agentes-y-agencias-de-viaje-pymes-arg,2025-08-09T16:05:50.766Z,true
Fundación Creer es Crear,creer_escrear@hotmail.com,42153018,Espinosa 45 C1406CBA 7 Ciudad Autónoma de Buenos Aires Argentina,"""Brindar una solución eficaz al individuo que padece diversas problemáticas y severas como son las adicciones y las consecuencias que las mismas provocan.

""",Salud,https://buenosaires.gob.ar/organizacion/fundacion-creer-es-crear,2025-08-09T16:05:48.565Z,true
Apleno Asociación Civil para el Pleno Desarrollo de la Persona con Discapacidad,asociacionapleno@gmail.com,1158432568,Uriarte 1465 C1414DAM 22 Ciudad Autónoma de Buenos Aires Argentina,"Apoyar a las personas con discapacidad a desarrollar una vida plena, autodeterminada, independiente, con el pleno goce de sus derechos.",Social / humana,https://buenosaires.gob.ar/organizacion/apleno-asociacion-civil-para-el-pleno-desarrollo-de-la-persona-con-discapacidad,2025-08-09T16:05:47.849Z,true
